sigma_A_over_sigma_omega,K_over_sigma_omega,mean_abs_drift_over_sigma_omega,positive_fraction,negative_fraction
1.757575758,1.393939394,0.3073709253,0.1796,0.1806
1.818181818,1.393939394,0.2990702759,0.1696,0.1696
1.878787879,1.393939394,0.2912070742,0.1662,0.1668
1.939393939,1.393939394,0.283525241,0.1616,0.1614
2,1.393939394,0.2762446666,0.1542,0.1532
2.060606061,1.393939394,0.269591843,0.15,0.1484
2.121212121,1.393939394,0.2628956656,0.1478,0.1488
2.181818182,1.393939394,0.2567497568,0.1456,0.1436
2.242424242,1.393939394,0.250755776,0.1382,0.1378
2.303030303,1.393939394,0.2449533992,0.1376,0.1324
2.363636364,1.393939394,0.2397139587,0.1302,0.1274
2.424242424,1.393939394,0.2349689537,0.1344,0.1288
2.484848485,1.393939394,0.2300519064,0.1268,0.1238
2.545454545,1.393939394,0.2249745573,0.1308,0.1222
2.606060606,1.393939394,0.2204259985,0.1226,0.1166
2.666666667,1.393939394,0.216122643,0.1206,0.1164
2.727272727,1.393939394,0.211695693,0.1158,0.1098
2.787878788,1.393939394,0.2076416898,0.112,0.1096
2.848484848,1.393939394,0.2034250089,0.116,0.1084
2.909090909,1.393939394,0.1992068464,0.1142,0.1048
2.96969697,1.393939394,0.1952044043,0.112,0.1034
3.03030303,1.393939394,0.1913675661,0.107,0.097
3.090909091,1.393939394,0.1877628649,0.1062,0.098
3.151515152,1.393939394,0.183962796,0.103,0.095
3.212121212,1.393939394,0.1804792048,0.1042,0.095
3.272727273,1.393939394,0.1771028282,0.0994,0.0926
3.333333333,1.393939394,0.1739293575,0.097,0.09
3.393939394,1.393939394,0.1711026796,0.0962,0.0866
3.454545455,1.393939394,0.1682943193,0.0942,0.0852
3.515151515,1.393939394,0.1653435455,0.093,0.0842
3.575757576,1.393939394,0.1625151734,0.0902,0.083
3.636363636,1.393939394,0.1596892207,0.091,0.0828
3.696969697,1.393939394,0.157268651,0.088,0.0806
3.757575758,1.393939394,0.1548392835,0.0874,0.0792
3.818181818,1.393939394,0.1522846938,0.0832,0.0766
3.878787879,1.393939394,0.1497395196,0.0828,0.0782
3.939393939,1.393939394,0.1473846962,0.0828,0.0758
4,1.393939394,0.1452779896,0.0798,0.0734
4.060606061,1.393939394,0.1431241421,0.0796,0.0726
4.121212121,1.393939394,0.1410955688,0.0764,0.0724
4.181818182,1.393939394,0.1389875437,0.0756,0.0712
4.242424242,1.393939394,0.1370589201,0.075,0.0698
4.303030303,1.393939394,0.1350073184,0.0744,0.0688
4.363636364,1.393939394,0.1332020537,0.073,0.0668
4.424242424,1.393939394,0.1312956855,0.0716,0.0666
4.484848485,1.393939394,0.1296232998,0.0704,0.0658
4.545454545,1.393939394,0.1280747546,0.0704,0.0636
4.606060606,1.393939394,0.1265240949,0.0692,0.0628
4.666666667,1.393939394,0.1251447214,0.0684,0.0622
4.727272727,1.393939394,0.1237842655,0.0668,0.06
4.787878788,1.393939394,0.1224596444,0.067,0.06
4.848484848,1.393939394,0.1211993341,0.0662,0.0592
4.909090909,1.393939394,0.1197383788,0.066,0.0586
4.96969697,1.393939394,0.1184881762,0.065,0.0582
5.03030303,1.393939394,0.1171648083,0.0632,0.0576
5.090909091,1.393939394,0.1158631528,0.062,0.0574
5.151515152,1.393939394,0.1146654784,0.0612,0.0566
5.212121212,1.393939394,0.113519707,0.0612,0.0562
5.272727273,1.393939394,0.1122697333,0.0602,0.0548
5.333333333,1.393939394,0.1111928925,0.0592,0.0538
5.393939394,1.393939394,0.1101952575,0.0594,0.054
5.454545455,1.393939394,0.1090480975,0.059,0.0532
5.515151515,1.393939394,0.1080314296,0.058,0.0524
5.575757576,1.393939394,0.1068983308,0.058,0.0522
5.636363636,1.393939394,0.1057879218,0.057,0.0512
5.696969697,1.393939394,0.1047313614,0.0564,0.0508
5.757575758,1.393939394,0.103674123,0.055,0.0504
5.818181818,1.393939394,0.1028314321,0.0544,0.0494
5.878787879,1.393939394,0.101904063,0.054,0.0496
5.939393939,1.393939394,0.1008728111,0.0536,0.049
6,1.393939394,0.100038382,0.0534,0.0484
0,1.454545455,0.678138125,0.4804,0.5194
0.06060606061,1.454545455,0.6708615904,0.45,0.5262
0.1212121212,1.454545455,0.6603548964,0.4496,0.5216
0.1818181818,1.454545455,0.6494053189,0.43,0.5276
0.2424242424,1.454545455,0.6366152773,0.4432,0.4954
0.303030303,1.454545455,0.6243605064,0.4454,0.4648
0.3636363636,1.454545455,0.6092275514,0.4234,0.452
0.4242424242,1.454545455,0.5939821809,0.4012,0.4534
0.4848484848,1.454545455,0.5760785974,0.3834,0.4232
0.5454545455,1.454545455,0.5594674375,0.391,0.4006
0.6060606061,1.454545455,0.5422490937,0.373,0.4072
0.6666666667,1.454545455,0.523363993,0.3694,0.4034
0.7272727273,1.454545455,0.5041496862,0.332,0.346
0.7878787879,1.454545455,0.4895639745,0.3284,0.3474
0.8484848485,1.454545455,0.4748133544,0.3058,0.3326
0.9090909091,1.454545455,0.4594365771,0.3192,0.3284
0.9696969697,1.454545455,0.4453464157,0.2834,0.284
1.03030303,1.454545455,0.4331527958,0.2774,0.284
1.090909091,1.454545455,0.4191003527,0.2576,0.2682
1.151515152,1.454545455,0.4068609826,0.2688,0.2844
1.212121212,1.454545455,0.3961427436,0.2536,0.2572
1.272727273,1.454545455,0.3843853925,0.23,0.2428
1.333333333,1.454545455,0.3732992354,0.231,0.2342
1.393939394,1.454545455,0.3628975801,0.2236,0.2274
1.454545455,1.454545455,0.3528324144,0.2094,0.2112
1.515151515,1.454545455,0.342997321,0.2146,0.2088
1.575757576,1.454545455,0.3330233615,0.2,0.1954
1.636363636,1.454545455,0.3234446484,0.1826,0.183
1.696969697,1.454545455,0.3137175155,0.1852,0.185
1.757575758,1.454545455,0.3046888636,0.1872,0.1876
1.818181818,1.454545455,0.2965451498,0.1764,0.1742
1.878787879,1.454545455,0.2887388337,0.1718,0.1772
1.939393939,1.454545455,0.2810522428,0.1598,0.16
2,1.454545455,0.2742627828,0.1686,0.1626
2.060606061,1.454545455,0.2676805092,0.1558,0.152
2.121212121,1.454545455,0.2611615961,0.146,0.1428
2.181818182,1.454545455,0.2551208517,0.1478,0.145
2.242424242,1.454545455,0.2493953606,0.1432,0.1382
2.303030303,1.454545455,0.2435806894,0.1306,0.1284
2.363636364,1.454545455,0.2384575643,0.129,0.1242
2.424242424,1.454545455,0.2337553398,0.1354,0.137
2.484848485,1.454545455,0.2289463898,0.1268,0.122
2.545454545,1.454545455,0.2239316653,0.1234,0.1184
2.606060606,1.454545455,0.219418616,0.1224,0.1178
2.666666667,1.454545455,0.215262021,0.1224,0.1194
2.727272727,1.454545455,0.2109560173,0.1226,0.1148
2.787878788,1.454545455,0.2068285806,0.1164,0.1102
2.848484848,1.454545455,0.2028222867,0.1138,0.1134
2.909090909,1.454545455,0.1982879343,0.112,0.104
2.96969697,1.454545455,0.1944479021,0.111,0.1036
3.03030303,1.454545455,0.190750193,0.111,0.0996
3.090909091,1.454545455,0.1871293568,0.1088,0.0976
3.151515152,1.454545455,0.1834462274,0.1062,0.0952
3.212121212,1.454545455,0.1798506768,0.102,0.0954
3.272727273,1.454545455,0.1764431807,0.0994,0.0932
3.333333333,1.454545455,0.1733572579,0.0992,0.0908
3.393939394,1.454545455,0.1706026474,0.0954,0.0884
3.454545455,1.454545455,0.1677267204,0.0944,0.086
3.515151515,1.454545455,0.1648376651,0.0922,0.0842
3.575757576,1.454545455,0.1620587099,0.0934,0.084
3.636363636,1.454545455,0.1592243163,0.089,0.081
3.696969697,1.454545455,0.1568067414,0.0872,0.0794
3.757575758,1.454545455,0.1544462431,0.0864,0.079
3.818181818,1.454545455,0.1519455362,0.0846,0.0782
3.878787879,1.454545455,0.1493841353,0.0836,0.0762
3.939393939,1.454545455,0.1470684549,0.0818,0.0754
4,1.454545455,0.1449482928,0.0812,0.074
4.060606061,1.454545455,0.1429541207,0.08,0.074
4.121212121,1.454545455,0.1408649175,0.0778,0.071
4.181818182,1.454545455,0.1387733806,0.0774,0.0702
4.242424242,1.454545455,0.1366938896,0.0746,0.0696
4.303030303,1.454545455,0.1347504052,0.0758,0.0716
4.363636364,1.454545455,0.1329442618,0.0734,0.0668
4.424242424,1.454545455,0.1311020348,0.0714,0.0664
4.484848485,1.454545455,0.12936614,0.0702,0.0658
4.545454545,1.454545455,0.1278301021,0.0704,0.0638
4.606060606,1.454545455,0.1263236534,0.0682,0.0626
4.666666667,1.454545455,0.1249040442,0.0688,0.0616
4.727272727,1.454545455,0.1235549819,0.067,0.061
4.787878788,1.454545455,0.1222975457,0.0676,0.0602
4.848484848,1.454545455,0.1210690426,0.0666,0.0598
4.909090909,1.454545455,0.1195812316,0.0658,0.059
4.96969697,1.454545455,0.1182790176,0.0652,0.058
5.03030303,1.454545455,0.1168291641,0.0638,0.0576
5.090909091,1.454545455,0.1156022197,0.0626,0.0566
5.151515152,1.454545455,0.1144778522,0.0614,0.0562
5.212121212,1.454545455,0.1133093587,0.0608,0.056
5.272727273,1.454545455,0.1121524717,0.0602,0.0548
5.333333333,1.454545455,0.111061395,0.0598,0.0552
5.393939394,1.454545455,0.1099713121,0.0596,0.0544
5.454545455,1.454545455,0.1088756621,0.059,0.0528
5.515151515,1.454545455,0.107867698,0.0588,0.0528
5.575757576,1.454545455,0.1067433584,0.0588,0.052
5.636363636,1.454545455,0.1055724271,0.0566,0.0512
5.696969697,1.454545455,0.104548933,0.0564,0.0512
5.757575758,1.454545455,0.1035660286,0.0554,0.05
5.818181818,1.454545455,0.1027328505,0.0548,0.0498
5.878787879,1.454545455,0.1018190608,0.0544,0.0498
5.939393939,1.454545455,0.1008583193,0.0538,0.049
6,1.454545455,0.09985219206,0.0536,0.0484
0,1.515151515,0.6459842219,0.4754,0.5244
0.06060606061,1.515151515,0.6407257583,0.4506,0.5372
0.1212121212,1.515151515,0.6337589292,0.4612,0.5078
0.1818181818,1.515151515,0.6215073711,0.446,0.4966
0.2424242424,1.515151515,0.6112652203,0.4316,0.5098
0.303030303,1.515151515,0.597756252,0.4316,0.483
0.3636363636,1.515151515,0.5871090154,0.4318,0.465
0.4242424242,1.515151515,0.5741945484,0.4042,0.4482
0.4848484848,1.515151515,0.5574115985,0.4008,0.4252
0.5454545455,1.515151515,0.5437706178,0.3802,0.4088
0.6060606061,1.515151515,0.5270445139,0.3812,0.398
0.6666666667,1.515151515,0.5120258275,0.3784,0.386
0.7272727273,1.515151515,0.4917270621,0.3464,0.3484
0.7878787879,1.515151515,0.475914189,0.3214,0.3344
0.8484848485,1.515151515,0.4617134304,0.3184,0.3556
0.9090909091,1.515151515,0.44761568,0.2856,0.3142
0.9696969697,1.515151515,0.4334595928,0.2786,0.3112
1.03030303,1.515151515,0.4205906597,0.2762,0.2818
1.090909091,1.515151515,0.4081390071,0.2566,0.2552
1.151515152,1.515151515,0.3966742348,0.2486,0.2502
1.212121212,1.515151515,0.3875104052,0.2404,0.2532
1.272727273,1.515151515,0.3768713478,0.2362,0.2422
1.333333333,1.515151515,0.3661419967,0.231,0.2302
1.393939394,1.515151515,0.356108212,0.2176,0.2246
1.454545455,1.515151515,0.347427436,0.2098,0.2176
1.515151515,1.515151515,0.3380036837,0.2068,0.2064
1.575757576,1.515151515,0.3291461455,0.202,0.2036
1.636363636,1.515151515,0.3198845772,0.1988,0.1962
1.696969697,1.515151515,0.3103253544,0.1998,0.1978
1.757575758,1.515151515,0.3012784782,0.1934,0.1904
1.818181818,1.515151515,0.2935439192,0.1708,0.1678
1.878787879,1.515151515,0.2857870245,0.1728,0.1716
1.939393939,1.515151515,0.2782911424,0.16,0.1614
2,1.515151515,0.2719114259,0.159,0.1548
2.060606061,1.515151515,0.2653443955,0.1516,0.1512
2.121212121,1.515151515,0.2588148719,0.153,0.152
2.181818182,1.515151515,0.2530923229,0.1508,0.1486
2.242424242,1.515151515,0.2477223385,0.143,0.1444
2.303030303,1.515151515,0.2419161681,0.138,0.1334
2.363636364,1.515151515,0.2364844623,0.1356,0.1304
2.424242424,1.515151515,0.232052074,0.1286,0.1264
2.484848485,1.515151515,0.2274358111,0.1302,0.1214
2.545454545,1.515151515,0.2226908504,0.129,0.125
2.606060606,1.515151515,0.2183217344,0.12,0.114
2.666666667,1.515151515,0.2140264697,0.1224,0.117
2.727272727,1.515151515,0.2100029998,0.1174,0.1146
2.787878788,1.515151515,0.2056948606,0.1164,0.1074
2.848484848,1.515151515,0.2017274844,0.1134,0.1068
2.909090909,1.515151515,0.1973973843,0.1108,0.1042
2.96969697,1.515151515,0.1937265147,0.1118,0.1018
3.03030303,1.515151515,0.1900240677,0.1116,0.0994
3.090909091,1.515151515,0.1863894509,0.1052,0.096
3.151515152,1.515151515,0.1826053548,0.1028,0.0962
3.212121212,1.515151515,0.1790450538,0.1046,0.0966
3.272727273,1.515151515,0.1757305918,0.0998,0.0928
3.333333333,1.515151515,0.1727189494,0.103,0.094
3.393939394,1.515151515,0.1699584139,0.0954,0.0882
3.454545455,1.515151515,0.1671891275,0.0956,0.086
3.515151515,1.515151515,0.1645192433,0.0938,0.0846
3.575757576,1.515151515,0.161540207,0.0918,0.0844
3.636363636,1.515151515,0.1586726503,0.0894,0.08
3.696969697,1.515151515,0.1562936015,0.0874,0.0796
3.757575758,1.515151515,0.1540916219,0.0882,0.0806
3.818181818,1.515151515,0.1515762986,0.0844,0.0788
3.878787879,1.515151515,0.1490949514,0.084,0.0776
3.939393939,1.515151515,0.1466687454,0.0818,0.0766
4,1.515151515,0.1446159241,0.0798,0.0732
4.060606061,1.515151515,0.1426160895,0.0794,0.073
4.121212121,1.515151515,0.1405652723,0.0802,0.0734
4.181818182,1.515151515,0.138473257,0.0774,0.0714
4.242424242,1.515151515,0.1364429888,0.0752,0.0706
4.303030303,1.515151515,0.1344707441,0.0732,0.0694
4.363636364,1.515151515,0.1327004827,0.0738,0.0674
4.424242424,1.515151515,0.1308802212,0.0726,0.068
4.484848485,1.515151515,0.1291380755,0.0708,0.067
4.545454545,1.515151515,0.1275083017,0.0706,0.0648
4.606060606,1.515151515,0.1261438284,0.0712,0.064
4.666666667,1.515151515,0.1247762741,0.0688,0.062
4.727272727,1.515151515,0.1234740117,0.0674,0.0608
4.787878788,1.515151515,0.1220830427,0.0664,0.0598
4.848484848,1.515151515,0.1208012141,0.0658,0.0596
4.909090909,1.515151515,0.1194433409,0.0664,0.0596
4.96969697,1.515151515,0.1180510123,0.0646,0.0586
5.03030303,1.515151515,0.1166393662,0.0642,0.0578
5.090909091,1.515151515,0.1154217952,0.0624,0.0574
5.151515152,1.515151515,0.1142462826,0.062,0.0566
5.212121212,1.515151515,0.1131474233,0.061,0.056
5.272727273,1.515151515,0.1119665529,0.0606,0.056
5.333333333,1.515151515,0.1107916176,0.0592,0.054
5.393939394,1.515151515,0.109833601,0.059,0.0538
5.454545455,1.515151515,0.1087191824,0.0592,0.0534
5.515151515,1.515151515,0.1076510874,0.0588,0.052
5.575757576,1.515151515,0.1065661438,0.0578,0.0518
5.636363636,1.515151515,0.1053806133,0.0566,0.051
5.696969697,1.515151515,0.1043198457,0.056,0.0502
5.757575758,1.515151515,0.1034070521,0.0556,0.0498
5.818181818,1.515151515,0.1026002633,0.0548,0.0494
5.878787879,1.515151515,0.1016809334,0.0546,0.0494
5.939393939,1.515151515,0.1007174135,0.054,0.0492
6,1.515151515,0.09978607105,0.054,0.0484
0,1.575757576,0.6068301504,0.4604,0.5386
0.06060606061,1.575757576,0.604974755,0.473,0.516
0.1212121212,1.575757576,0.5956339158,0.4444,0.5058
0.1818181818,1.575757576,0.5901670489,0.4384,0.49
0.2424242424,1.575757576,0.5818084356,0.4478,0.4934
0.303030303,1.575757576,0.5684086223,0.4284,0.4734
0.3636363636,1.575757576,0.5590832222,0.4186,0.4744
0.4242424242,1.575757576,0.5461042116,0.401,0.4554
0.4848484848,1.575757576,0.5340520989,0.4088,0.425
0.5454545455,1.575757576,0.5224656924,0.3902,0.4246
0.6060606061,1.575757576,0.5080126434,0.3626,0.4096
0.6666666667,1.575757576,0.4919739116,0.3482,0.3822
0.7272727273,1.575757576,0.4772363995,0.3418,0.3892
0.7878787879,1.575757576,0.462258126,0.3098,0.3716
0.8484848485,1.575757576,0.445866381,0.2972,0.3172
0.9090909091,1.575757576,0.4335453534,0.3048,0.305
0.9696969697,1.575757576,0.4197720933,0.265,0.2942
1.03030303,1.575757576,0.4062307438,0.2618,0.2828
1.090909091,1.575757576,0.3944954969,0.2628,0.2564
1.151515152,1.575757576,0.3856590492,0.2404,0.2624
1.212121212,1.575757576,0.3763440855,0.2288,0.241
1.272727273,1.575757576,0.3665056515,0.2218,0.2364
1.333333333,1.575757576,0.3569529071,0.214,0.2218
1.393939394,1.575757576,0.3472767334,0.2298,0.2386
1.454545455,1.575757576,0.3391213838,0.2224,0.2272
1.515151515,1.575757576,0.3312016049,0.2054,0.211
1.575757576,1.575757576,0.3234326654,0.2066,0.2038
1.636363636,1.575757576,0.3148279137,0.2,0.194
1.696969697,1.575757576,0.3060216187,0.191,0.1868
1.757575758,1.575757576,0.2974379314,0.1782,0.183
1.818181818,1.575757576,0.2894068618,0.1716,0.178
1.878787879,1.575757576,0.2822986746,0.1712,0.1668
1.939393939,1.575757576,0.2754601622,0.1696,0.1676
2,1.575757576,0.269122577,0.1634,0.1594
2.060606061,1.575757576,0.2627019541,0.1572,0.153
2.121212121,1.575757576,0.2565673496,0.148,0.1466
2.181818182,1.575757576,0.2506813149,0.1466,0.1446
2.242424242,1.575757576,0.2452310745,0.1388,0.1384
2.303030303,1.575757576,0.2400011091,0.136,0.1354
2.363636364,1.575757576,0.2347788161,0.136,0.1328
2.424242424,1.575757576,0.2301567796,0.1344,0.1336
2.484848485,1.575757576,0.2257092497,0.1296,0.1242
2.545454545,1.575757576,0.2210393728,0.1294,0.121
2.606060606,1.575757576,0.2163812118,0.1222,0.1168
2.666666667,1.575757576,0.2124774733,0.1202,0.1158
2.727272727,1.575757576,0.208316722,0.1218,0.1154
2.787878788,1.575757576,0.2043366387,0.1196,0.1144
2.848484848,1.575757576,0.2003935346,0.1176,0.1104
2.909090909,1.575757576,0.1962735893,0.113,0.106
2.96969697,1.575757576,0.192552776,0.1112,0.1022
3.03030303,1.575757576,0.1887930207,0.1106,0.0984
3.090909091,1.575757576,0.1853501437,0.109,0.098
3.151515152,1.575757576,0.1816084709,0.1058,0.0964
3.212121212,1.575757576,0.1781491294,0.1064,0.096
3.272727273,1.575757576,0.1748984115,0.1018,0.093
3.333333333,1.575757576,0.1717041163,0.0958,0.0882
3.393939394,1.575757576,0.1691612136,0.096,0.089
3.454545455,1.575757576,0.1663856255,0.095,0.0884
3.515151515,1.575757576,0.1637600213,0.0942,0.0852
3.575757576,1.575757576,0.1609158947,0.0926,0.085
3.636363636,1.575757576,0.1580289066,0.0896,0.0818
3.696969697,1.575757576,0.1557174018,0.0882,0.079
3.757575758,1.575757576,0.1534547521,0.0872,0.079
3.818181818,1.575757576,0.1510266225,0.0872,0.0806
3.878787879,1.575757576,0.1486902002,0.085,0.0772
3.939393939,1.575757576,0.146222741,0.0816,0.0744
4,1.575757576,0.1442005669,0.0804,0.0738
4.060606061,1.575757576,0.1421918736,0.0794,0.0734
4.121212121,1.575757576,0.1401253356,0.0794,0.0724
4.181818182,1.575757576,0.1381201108,0.0782,0.0732
4.242424242,1.575757576,0.1360846678,0.0752,0.0712
4.303030303,1.575757576,0.1341940361,0.0754,0.0694
4.363636364,1.575757576,0.1323026355,0.0714,0.0672
4.424242424,1.575757576,0.1305870246,0.0722,0.0668
4.484848485,1.575757576,0.1288056497,0.0702,0.065
4.545454545,1.575757576,0.1272306758,0.0708,0.0658
4.606060606,1.575757576,0.1258647057,0.0704,0.064
4.666666667,1.575757576,0.12456724,0.0688,0.0616
4.727272727,1.575757576,0.123254366,0.0678,0.061
4.787878788,1.575757576,0.1219400723,0.0676,0.06
4.848484848,1.575757576,0.1205793281,0.0672,0.0606
4.909090909,1.575757576,0.1191912375,0.066,0.0596
4.96969697,1.575757576,0.117775308,0.065,0.0586
5.03030303,1.575757576,0.1164533031,0.0642,0.0574
5.090909091,1.575757576,0.1152131826,0.0624,0.0562
5.151515152,1.575757576,0.1140950404,0.0616,0.057
5.212121212,1.575757576,0.1129526247,0.0612,0.0574
5.272727273,1.575757576,0.1117204187,0.0602,0.0558
5.333333333,1.575757576,0.1105811374,0.0598,0.0536
5.393939394,1.575757576,0.1095833329,0.059,0.0544
5.454545455,1.575757576,0.1084918772,0.0592,0.0538
5.515151515,1.575757576,0.1074567993,0.0594,0.0522
5.575757576,1.575757576,0.1062970004,0.058,0.0518
5.636363636,1.575757576,0.1051930685,0.0572,0.0512
5.696969697,1.575757576,0.1041294598,0.056,0.0508
5.757575758,1.575757576,0.1032710101,0.056,0.0498
5.818181818,1.575757576,0.102377106,0.0554,0.049
5.878787879,1.575757576,0.1015191573,0.0552,0.0492
5.939393939,1.575757576,0.1005656059,0.0542,0.0488
6,1.575757576,0.09960016606,0.0544,0.0478
0,1.636363636,0.5693364688,0.4574,0.5422
0.06060606061,1.636363636,0.565835705,0.458,0.5322
0.1212121212,1.636363636,0.5615400073,0.4442,0.5268
0.1818181818,1.636363636,0.5532746856,0.4208,0.5172
0.2424242424,1.636363636,0.544999842,0.4468,0.4922
0.303030303,1.636363636,0.5314540272,0.3954,0.4938
0.3636363636,1.636363636,0.5240436173,0.414,0.478
0.4242424242,1.636363636,0.511519243,0.3878,0.4406
0.4848484848,1.636363636,0.5031405667,0.3864,0.4296
0.5454545455,1.636363636,0.4922820013,0.376,0.3944
0.6060606061,1.636363636,0.4811591421,0.3594,0.4116
0.6666666667,1.636363636,0.4653936507,0.3476,0.3638
0.7272727273,1.636363636,0.4514703526,0.3352,0.353
0.7878787879,1.636363636,0.4395036435,0.3378,0.3338
0.8484848485,1.636363636,0.4263233016,0.3032,0.3238
0.9090909091,1.636363636,0.4154060345,0.2628,0.2908
0.9696969697,1.636363636,0.3993761145,0.2796,0.272
1.03030303,1.636363636,0.3884868071,0.2496,0.2756
1.090909091,1.636363636,0.3792120203,0.2542,0.271
1.151515152,1.636363636,0.3702139116,0.2346,0.2602
1.212121212,1.636363636,0.3611709349,0.2326,0.2302
1.272727273,1.636363636,0.3533809655,0.2182,0.23
1.333333333,1.636363636,0.3452515811,0.2188,0.2182
1.393939394,1.636363636,0.3364456887,0.204,0.2174
1.454545455,1.636363636,0.3295351348,0.2162,0.2128
1.515151515,1.636363636,0.3215759969,0.21,0.2126
1.575757576,1.636363636,0.3144502918,0.1998,0.2094
1.636363636,1.636363636,0.3080232773,0.2088,0.2164
1.696969697,1.636363636,0.2993957955,0.1874,0.1902
1.757575758,1.636363636,0.2920455096,0.1848,0.1898
1.818181818,1.636363636,0.2845553078,0.1832,0.1894
1.878787879,1.636363636,0.2779352617,0.17,0.1696
1.939393939,1.636363636,0.2715966169,0.1712,0.1646
2,1.636363636,0.2652505429,0.1678,0.154
2.060606061,1.636363636,0.2595709789,0.1592,0.1518
2.121212121,1.636363636,0.2539105367,0.1524,0.1566
2.181818182,1.636363636,0.2478886473,0.141,0.142
2.242424242,1.636363636,0.2427449233,0.1448,0.1398
2.303030303,1.636363636,0.2375680285,0.137,0.1332
2.363636364,1.636363636,0.2325911241,0.1366,0.1318
2.424242424,1.636363636,0.2280092944,0.1302,0.1322
2.484848485,1.636363636,0.2234537313,0.1342,0.129
2.545454545,1.636363636,0.2191081309,0.1234,0.1202
2.606060606,1.636363636,0.2144109434,0.1262,0.1212
2.666666667,1.636363636,0.2104653796,0.1214,0.1178
2.727272727,1.636363636,0.2066028493,0.1188,0.1128
2.787878788,1.636363636,0.2027675368,0.1226,0.115
2.848484848,1.636363636,0.199056203,0.1162,0.1112
2.909090909,1.636363636,0.1951039003,0.1158,0.1078
2.96969697,1.636363636,0.1913897424,0.1102,0.1072
3.03030303,1.636363636,0.1878534601,0.1094,0.1002
3.090909091,1.636363636,0.1843830035,0.1088,0.0988
3.151515152,1.636363636,0.1806874823,0.104,0.0954
3.212121212,1.636363636,0.1773794192,0.1048,0.094
3.272727273,1.636363636,0.1738820298,0.099,0.0912
3.333333333,1.636363636,0.1710157858,0.0972,0.095
3.393939394,1.636363636,0.1682424409,0.096,0.0912
3.454545455,1.636363636,0.1655795622,0.0932,0.0888
3.515151515,1.636363636,0.1629174227,0.096,0.0878
3.575757576,1.636363636,0.1601567356,0.0928,0.0864
3.636363636,1.636363636,0.1574522683,0.0898,0.0818
3.696969697,1.636363636,0.1550133734,0.09,0.0816
3.757575758,1.636363636,0.1528733569,0.0922,0.0828
3.818181818,1.636363636,0.1505324752,0.0858,0.0804
3.878787879,1.636363636,0.1481473859,0.0854,0.0768
3.939393939,1.636363636,0.1456949636,0.0822,0.0774
4,1.636363636,0.1436910749,0.081,0.0742
4.060606061,1.636363636,0.1416739797,0.0796,0.0728
4.121212121,1.636363636,0.1397839021,0.0786,0.0734
4.181818182,1.636363636,0.1376801564,0.0772,0.0724
4.242424242,1.636363636,0.135639971,0.0772,0.07
4.303030303,1.636363636,0.1338758268,0.0746,0.0712
4.363636364,1.636363636,0.1320165937,0.0736,0.069
4.424242424,1.636363636,0.1302197708,0.0724,0.0682
4.484848485,1.636363636,0.1284717214,0.0702,0.066
4.545454545,1.636363636,0.1270114335,0.0708,0.0656
4.606060606,1.636363636,0.1255459196,0.0706,0.063
4.666666667,1.636363636,0.1242932758,0.0694,0.0624
4.727272727,1.636363636,0.1229533567,0.0678,0.0612
4.787878788,1.636363636,0.1216958546,0.0686,0.0614
4.848484848,1.636363636,0.1202675554,0.0674,0.0614
4.909090909,1.636363636,0.1188739186,0.0672,0.061
4.96969697,1.636363636,0.1175559836,0.065,0.0582
5.03030303,1.636363636,0.1162780048,0.0642,0.0574
5.090909091,1.636363636,0.115049357,0.0638,0.0582
5.151515152,1.636363636,0.1138178603,0.0626,0.0578
5.212121212,1.636363636,0.1126933225,0.061,0.056
5.272727273,1.636363636,0.1114437184,0.0618,0.0564
5.333333333,1.636363636,0.1103531802,0.0604,0.0552
5.393939394,1.636363636,0.1093278598,0.059,0.0542
5.454545455,1.636363636,0.1082779843,0.0598,0.0534
5.515151515,1.636363636,0.1071631274,0.0584,0.0524
5.575757576,1.636363636,0.1061068554,0.0582,0.0532
5.636363636,1.636363636,0.1049375993,0.0572,0.0518
5.696969697,1.636363636,0.10396486,0.0556,0.05
5.757575758,1.636363636,0.1030766476,0.0566,0.0504
5.818181818,1.636363636,0.1021639782,0.0552,0.0492
5.878787879,1.636363636,0.1012510646,0.0546,0.0498
5.939393939,1.636363636,0.1002780142,0.0542,0.0486
6,1.636363636,0.09946216761,0.054,0.048
0,1.696969697,0.5256364015,0.4526,0.5474
0.06060606061,1.696969697,0.5206518924,0.4624,0.5296
0.1212121212,1.696969697,0.5186262447,0.4608,0.5116
0.1818181818,1.696969697,0.5110395578,0.4372,0.4796
0.2424242424,1.696969697,0.5014804447,0.4282,0.4932
0.303030303,1.696969697,0.4908438086,0.4136,0.4712
0.3636363636,1.696969697,0.4853893892,0.3952,0.4736
0.4242424242,1.696969697,0.4729317353,0.3724,0.447
0.4848484848,1.696969697,0.4634992688,0.3776,0.407
0.5454545455,1.696969697,0.4548080073,0.3576,0.426
0.6060606061,1.696969697,0.4456228142,0.3614,0.4108
0.6666666667,1.696969697,0.4367562569,0.3392,0.3664
0.7272727273,1.696969697,0.4243316464,0.3274,0.346
0.7878787879,1.696969697,0.413654898,0.3038,0.3228
0.8484848485,1.696969697,0.3994925546,0.2628,0.3058
0.9090909091,1.696969697,0.3893531199,0.2534,0.2926
0.9696969697,1.696969697,0.3780289234,0.2576,0.2708
1.03030303,1.696969697,0.3691208194,0.254,0.2618
