sigma_A_over_sigma_omega,K_over_sigma_omega,mean_abs_drift_over_sigma_omega,positive_fraction,negative_fraction
0.5454545455,0.06060606061,0.637129044,0.333,0.3548
0.6060606061,0.06060606061,0.6130391396,0.318,0.3406
0.6666666667,0.06060606061,0.5902598274,0.3048,0.3232
0.7272727273,0.06060606061,0.5680973896,0.2928,0.3096
0.7878787879,0.06060606061,0.5462004265,0.2814,0.2968
0.8484848485,0.06060606061,0.5259312618,0.2692,0.2812
0.9090909091,0.06060606061,0.50754355,0.2578,0.2718
0.9696969697,0.06060606061,0.4898926037,0.2484,0.2628
1.03030303,0.06060606061,0.4722719333,0.2414,0.25
1.090909091,0.06060606061,0.4558678078,0.2326,0.2416
1.151515152,0.06060606061,0.4402014038,0.225,0.2338
1.212121212,0.06060606061,0.4247132546,0.2158,0.2252
1.272727273,0.06060606061,0.4105093812,0.2098,0.2172
1.333333333,0.06060606061,0.3964313549,0.2028,0.2084
1.393939394,0.06060606061,0.3825235962,0.1948,0.2018
1.454545455,0.06060606061,0.3693475895,0.189,0.1918
1.515151515,0.06060606061,0.3574873062,0.183,0.1852
1.575757576,0.06060606061,0.3463089847,0.1772,0.1796
1.636363636,0.06060606061,0.335832783,0.1708,0.1728
1.696969697,0.06060606061,0.3263526692,0.1666,0.1674
1.757575758,0.06060606061,0.3167833869,0.163,0.1608
1.818181818,0.06060606061,0.3077105994,0.1584,0.1546
1.878787879,0.06060606061,0.2994082369,0.1546,0.1508
1.939393939,0.06060606061,0.2913760248,0.15,0.1466
2,0.06060606061,0.2841112597,0.147,0.1438
2.060606061,0.06060606061,0.2766917362,0.1442,0.1402
2.121212121,0.06060606061,0.2697004835,0.1412,0.138
2.181818182,0.06060606061,0.2627387872,0.1372,0.1344
2.242424242,0.06060606061,0.2560160289,0.1328,0.1306
2.303030303,0.06060606061,0.2499445046,0.1294,0.1274
2.363636364,0.06060606061,0.2441509148,0.1256,0.124
2.424242424,0.06060606061,0.2388376688,0.124,0.1208
2.484848485,0.06060606061,0.2336079699,0.1222,0.1172
2.545454545,0.06060606061,0.2288829388,0.1206,0.115
2.606060606,0.06060606061,0.2239122729,0.1184,0.1118
2.666666667,0.06060606061,0.2192229184,0.1158,0.1086
2.727272727,0.06060606061,0.2147163836,0.1134,0.1066
2.787878788,0.06060606061,0.2106338542,0.1106,0.1058
2.848484848,0.06060606061,0.2064410009,0.1082,0.104
2.909090909,0.06060606061,0.2025224013,0.1078,0.102
2.96969697,0.06060606061,0.1983366212,0.1054,0.0996
3.03030303,0.06060606061,0.1942585479,0.1034,0.097
3.090909091,0.06060606061,0.1905150741,0.102,0.0944
3.151515152,0.06060606061,0.1870487044,0.1008,0.0928
3.212121212,0.06060606061,0.1837642322,0.0988,0.0914
3.272727273,0.06060606061,0.1807018069,0.0984,0.0894
3.333333333,0.06060606061,0.1775469413,0.0964,0.0874
3.393939394,0.06060606061,0.1745777624,0.095,0.0862
3.454545455,0.06060606061,0.1715360793,0.0938,0.0856
3.515151515,0.06060606061,0.1684100133,0.0928,0.083
3.575757576,0.06060606061,0.1654108848,0.091,0.082
3.636363636,0.06060606061,0.1625146301,0.0874,0.0808
3.696969697,0.06060606061,0.1599641686,0.0862,0.08
3.757575758,0.06060606061,0.1574727127,0.0848,0.0788
3.818181818,0.06060606061,0.1549636443,0.084,0.077
3.878787879,0.06060606061,0.1527849735,0.0834,0.0756
3.939393939,0.06060606061,0.150524783,0.0826,0.075
4,0.06060606061,0.1483538281,0.0822,0.074
4.060606061,0.06060606061,0.1460278029,0.0806,0.0722
4.121212121,0.06060606061,0.1438904897,0.0796,0.0712
4.181818182,0.06060606061,0.1417492613,0.0772,0.0708
4.242424242,0.06060606061,0.1397880092,0.076,0.0702
4.303030303,0.06060606061,0.137820598,0.075,0.069
4.363636364,0.06060606061,0.135642406,0.0728,0.0682
4.424242424,0.06060606061,0.1336991815,0.0714,0.0668
4.484848485,0.06060606061,0.1320007504,0.0706,0.0656
4.545454545,0.06060606061,0.1303176238,0.0698,0.0646
4.606060606,0.06060606061,0.1288362509,0.069,0.064
4.666666667,0.06060606061,0.127210121,0.0684,0.0626
4.727272727,0.06060606061,0.1256383276,0.0674,0.0618
4.787878788,0.06060606061,0.1241580674,0.0662,0.0612
4.848484848,0.06060606061,0.1226527636,0.0658,0.0604
4.909090909,0.06060606061,0.121159725,0.0644,0.0594
4.96969697,0.06060606061,0.1197782724,0.0636,0.0582
5.03030303,0.06060606061,0.1184963432,0.0634,0.0574
5.090909091,0.06060606061,0.1171934183,0.063,0.0566
5.151515152,0.06060606061,0.1159272097,0.0618,0.056
5.212121212,0.06060606061,0.1148093586,0.0614,0.0556
5.272727273,0.06060606061,0.1136120623,0.0604,0.0552
5.333333333,0.06060606061,0.112561635,0.06,0.0544
5.393939394,0.06060606061,0.1114780824,0.059,0.054
5.454545455,0.06060606061,0.1104423904,0.0588,0.0538
5.515151515,0.06060606061,0.1094964066,0.0586,0.0532
5.575757576,0.06060606061,0.108441375,0.058,0.0526
5.636363636,0.06060606061,0.1073829869,0.0574,0.0524
5.696969697,0.06060606061,0.1063521897,0.0574,0.0518
5.757575758,0.06060606061,0.1052168247,0.0562,0.0514
5.818181818,0.06060606061,0.1040454304,0.0548,0.0508
5.878787879,0.06060606061,0.103055524,0.0544,0.0504
5.939393939,0.06060606061,0.1022268562,0.0542,0.0502
6,0.06060606061,0.1012816302,0.0538,0.0494
0,0.1212121212,0.8035542855,0.4892,0.51
0.06060606061,0.1212121212,0.7981763478,0.4698,0.4914
0.1212121212,0.1212121212,0.7861657247,0.4474,0.472
0.1818181818,0.1212121212,0.7700606734,0.43,0.4524
0.2424242424,0.1212121212,0.7508498361,0.4112,0.4346
0.303030303,0.1212121212,0.7294341981,0.3928,0.4184
0.3636363636,0.1212121212,0.707343375,0.3786,0.4006
0.4242424242,0.1212121212,0.683918724,0.3618,0.3838
0.4848484848,0.1212121212,0.6601639526,0.3442,0.3698
0.5454545455,0.1212121212,0.6371074512,0.3328,0.3544
0.6060606061,0.1212121212,0.6130356283,0.3178,0.3402
0.6666666667,0.1212121212,0.5902050639,0.3048,0.3232
0.7272727273,0.1212121212,0.5680711237,0.2926,0.3096
0.7878787879,0.1212121212,0.5461138382,0.2812,0.2956
0.8484848485,0.1212121212,0.5259851825,0.2692,0.2804
0.9090909091,0.1212121212,0.5074708908,0.2578,0.2712
0.9696969697,0.1212121212,0.4897989521,0.2482,0.2626
1.03030303,0.1212121212,0.4723450846,0.2418,0.2498
1.090909091,0.1212121212,0.4559230066,0.2332,0.2418
1.151515152,0.1212121212,0.4402008593,0.2248,0.2336
1.212121212,0.1212121212,0.424712956,0.2158,0.2248
