r,kappa,D
0.0,0.0,0.9999999999990905
0.06060606060606061,0.0,0.9981590981232933
0.12121212121212122,0.0,0.9925595912475588
0.18181818181818182,0.0,0.9829991774591861
0.24242424242424243,0.0,0.9689558429587163
0.30303030303030304,0.0,0.9497393698238397
0.36363636363636365,0.0,0.9234469839740589
0.42424242424242425,0.0,0.8917293873749516
0.48484848484848486,0.0,0.8540280847018228
0.5454545454545454,0.0,0.8138729212380572
0.6060606060606061,0.0,0.7733895563903573
0.6666666666666667,0.0,0.7336898254439358
0.7272727272727273,0.0,0.6951921147496906
0.7878787878787878,0.0,0.6614757178192215
0.8484848484848485,0.0,0.6275106253573408
0.9090909090909092,0.0,0.5967526167314682
0.9696969696969697,0.0,0.5686458748232929
1.0303030303030303,0.0,0.5428467785661494
1.0909090909090908,0.0,0.518198690451804
1.1515151515151516,0.0,0.4947781419069514
1.2121212121212122,0.0,0.47357322020780984
1.2727272727272727,0.0,0.4540801511972095
1.3333333333333335,0.0,0.4348370228047586
1.393939393939394,0.0,0.4170178541943006
1.4545454545454546,0.0,0.40134333603876676
1.5151515151515151,0.0,0.3867038653367891
1.5757575757575757,0.0,0.3729718099524131
1.6363636363636365,0.0,0.3599850131856245
1.696969696969697,0.0,0.3477040888858847
1.7575757575757576,0.0,0.3356946231964619
1.8181818181818183,0.0,0.3250612299073785
1.878787878787879,0.0,0.31516756610336183
1.9393939393939394,0.0,0.3058573202879496
2.0,0.0,0.29723074050341475
2.0606060606060606,0.0,0.28888010831865774
2.121212121212121,0.0,0.28060030007689607
2.1818181818181817,0.0,0.2730158473808501
2.2424242424242427,0.0,0.2658067048437774
2.303030303030303,0.0,0.25868844696586135
2.3636363636363638,0.0,0.2519293404280549
2.4242424242424243,0.0,0.24601214611002076
2.484848484848485,0.0,0.24011506407019442
2.5454545454545454,0.0,0.23458805923560072
2.606060606060606,0.0,0.22936187877832073
2.666666666666667,0.0,0.22461789784270145
2.7272727272727275,0.0,0.21988578837284933
2.787878787878788,0.0,0.2154535221032098
2.8484848484848486,0.0,0.21112491480054327
2.909090909090909,0.0,0.20693547714307808
2.9696969696969697,0.0,0.20307341879074897
3.0303030303030303,0.0,0.1994358264279218
3.090909090909091,0.0,0.195904270745817
3.1515151515151514,0.0,0.1922807044487438
3.2121212121212124,0.0,0.18857603482423088
3.272727272727273,0.0,0.1850738479686404
3.3333333333333335,0.0,0.18179335449158185
3.393939393939394,0.0,0.1788873328028128
3.4545454545454546,0.0,0.1760585334618922
3.515151515151515,0.0,0.17308293357711535
3.5757575757575757,0.0,0.1701975742245047
3.6363636363636367,0.0,0.1675085779592363
3.6969696969696972,0.0,0.16464682561544752
3.757575757575758,0.0,0.16206614309142697
3.8181818181818183,0.0,0.15972096070484013
3.878787878787879,0.0,0.15751976947922933
3.9393939393939394,0.0,0.1553673235931677
4.0,0.0,0.15333071285356895
4.0606060606060606,0.0,0.1513157259564459
4.121212121212121,0.0,0.14938332829999626
4.181818181818182,0.0,0.14740637078463092
4.242424242424242,0.0,0.145464048179919
4.303030303030303,0.0,0.14354626542541798
4.363636363636363,0.0,0.1415494993119013
4.424242424242425,0.0,0.13984281699287718
4.484848484848485,0.0,0.13824063631078556
4.545454545454546,0.0,0.13661242619578542
4.606060606060606,0.0,0.13494372306160832
4.666666666666667,0.0,0.13333286567619676
4.7272727272727275,0.0,0.1319072428843385
4.787878787878788,0.0,0.13037605902014654
4.848484848484849,0.0,0.12905454456834442
4.909090909090909,0.0,0.12753277359439985
4.96969696969697,0.0,0.12619506094770516
5.03030303030303,0.0,0.1249583716424786
5.090909090909091,0.0,0.12367581603943854
5.151515151515151,0.0,0.12237366478676512
5.212121212121212,0.0,0.1211833691856935
5.2727272727272725,0.0,0.12002470036996794
5.333333333333334,0.0,0.11883718740955498
5.3939393939393945,0.0,0.11751804770765936
5.454545454545455,0.0,0.11629033952885384
5.515151515151516,0.0,0.11496721528172842
5.575757575757576,0.0,0.11381827875564843
5.636363636363637,0.0,0.1125356484832688
5.696969696969697,0.0,0.11136737875830499
5.757575757575758,0.0,0.11023136041396779
5.818181818181818,0.0,0.10897610665020045
5.878787878787879,0.0,0.10795230342920424
5.9393939393939394,0.0,0.1068202160041654
6.0,0.0,0.1056922791615691
0.0,0.06060606060606061,0.9999999999990905
0.06060606060606061,0.06060606060606061,0.9981762353795476
0.12121212121212122,0.06060606060606061,0.9927028890178575
