sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
4,0.06060606061,0.191,0
4.060606061,0.06060606061,0.1886,0
4.121212121,0.06060606061,0.1868,0
4.181818182,0.06060606061,0.1848,0
4.242424242,0.06060606061,0.1824,0
4.303030303,0.06060606061,0.1798,0
4.363636364,0.06060606061,0.1774,0
4.424242424,0.06060606061,0.174,0
4.484848485,0.06060606061,0.1724,0
4.545454545,0.06060606061,0.1708,0
4.606060606,0.06060606061,0.1686,0
4.666666667,0.06060606061,0.166,0
4.727272727,0.06060606061,0.1642,0
4.787878788,0.06060606061,0.163,0
4.848484848,0.06060606061,0.1612,0
4.909090909,0.06060606061,0.1586,0
4.96969697,0.06060606061,0.1572,0
5.03030303,0.06060606061,0.1562,0
5.090909091,0.06060606061,0.1552,0
5.151515152,0.06060606061,0.1532,0
5.212121212,0.06060606061,0.1518,0
5.272727273,0.06060606061,0.1514,0
5.333333333,0.06060606061,0.1498,0
5.393939394,0.06060606061,0.1488,0
5.454545455,0.06060606061,0.1474,0
5.515151515,0.06060606061,0.1458,0
5.575757576,0.06060606061,0.1446,0
5.636363636,0.06060606061,0.1426,0
5.696969697,0.06060606061,0.1416,0
5.757575758,0.06060606061,0.14,0
5.818181818,0.06060606061,0.1384,0
5.878787879,0.06060606061,0.1368,0
5.939393939,0.06060606061,0.135,0
6,0.06060606061,0.1334,0
0,0.1212121212,1,0
0.06060606061,0.1212121212,1,0
0.1212121212,0.1212121212,1,0
0.1818181818,0.1212121212,1,0
0.2424242424,0.1212121212,1,0
0.303030303,0.1212121212,0.9994,0
0.3636363636,0.1212121212,0.994,0
0.4242424242,0.1212121212,0.9838,0.0002
0.4848484848,0.1212121212,0.962,0
0.5454545455,0.1212121212,0.9352,0
0.6060606061,0.1212121212,0.9026,0
0.6666666667,0.1212121212,0.8672,0
0.7272727273,0.1212121212,0.8246,0
0.7878787879,0.1212121212,0.7978,0
0.8484848485,0.1212121212,0.7612,0
0.9090909091,0.1212121212,0.7264,0
0.9696969697,0.1212121212,0.6962,0
1.03030303,0.1212121212,0.669,0
1.090909091,0.1212121212,0.6428,0
1.151515152,0.1212121212,0.615,0
1.212121212,0.1212121212,0.5914,0
1.272727273,0.1212121212,0.5696,0
1.333333333,0.1212121212,0.5462,0
1.393939394,0.1212121212,0.523,0
1.454545455,0.1212121212,0.5036,0
1.515151515,0.1212121212,0.486,0
1.575757576,0.1212121212,0.469,0
1.636363636,0.1212121212,0.4538,0
1.696969697,0.1212121212,0.441,0
1.757575758,0.1212121212,0.4258,0
1.818181818,0.1212121212,0.4094,0
1.878787879,0.1212121212,0.3976,0
1.939393939,0.1212121212,0.3846,0
2,0.1212121212,0.3748,0
2.060606061,0.1212121212,0.3664,0
2.121212121,0.1212121212,0.3558,0
2.181818182,0.1212121212,0.3456,0
2.242424242,0.1212121212,0.3366,0
2.303030303,0.1212121212,0.3276,0
2.363636364,0.1212121212,0.3182,0
2.424242424,0.1212121212,0.3108,0
2.484848485,0.1212121212,0.3032,0
2.545454545,0.1212121212,0.2956,0
2.606060606,0.1212121212,0.2882,0
2.666666667,0.1212121212,0.2826,0
2.727272727,0.1212121212,0.2766,0
2.787878788,0.1212121212,0.27,0
2.848484848,0.1212121212,0.2658,0
2.909090909,0.1212121212,0.261,0
2.96969697,0.1212121212,0.2544,0
3.03030303,0.1212121212,0.2512,0
3.090909091,0.1212121212,0.247,0
3.151515152,0.1212121212,0.2436,0
3.212121212,0.1212121212,0.239,0
3.272727273,0.1212121212,0.233,0
3.333333333,0.1212121212,0.2288,0
3.393939394,0.1212121212,0.2244,0
3.454545455,0.1212121212,0.2226,0
3.515151515,0.1212121212,0.2188,0
3.575757576,0.1212121212,0.2144,0
3.636363636,0.1212121212,0.211,0
3.696969697,0.1212121212,0.208,0
3.757575758,0.1212121212,0.2026,0
3.818181818,0.1212121212,0.1994,0
3.878787879,0.1212121212,0.1972,0
3.939393939,0.1212121212,0.1936,0
4,0.1212121212,0.191,0
4.060606061,0.1212121212,0.1888,0
4.121212121,0.1212121212,0.1868,0
4.181818182,0.1212121212,0.1848,0
4.242424242,0.1212121212,0.182,0
4.303030303,0.1212121212,0.1802,0
4.363636364,0.1212121212,0.1774,0
4.424242424,0.1212121212,0.1744,0
4.484848485,0.1212121212,0.1724,0
4.545454545,0.1212121212,0.1706,0
4.606060606,0.1212121212,0.1686,0
4.666666667,0.1212121212,0.1658,0
4.727272727,0.1212121212,0.164,0
4.787878788,0.1212121212,0.1626,0
4.848484848,0.1212121212,0.1614,0
4.909090909,0.1212121212,0.159,0
4.96969697,0.1212121212,0.1574,0
5.03030303,0.1212121212,0.1562,0
5.090909091,0.1212121212,0.1554,0
5.151515152,0.1212121212,0.1534,0
5.212121212,0.1212121212,0.1522,0
5.272727273,0.1212121212,0.1514,0
5.333333333,0.1212121212,0.15,0
5.393939394,0.1212121212,0.1486,0
5.454545455,0.1212121212,0.1472,0
5.515151515,0.1212121212,0.1458,0
5.575757576,0.1212121212,0.145,0
5.636363636,0.1212121212,0.1422,0
5.696969697,0.1212121212,0.1418,0
5.757575758,0.1212121212,0.1396,0
