N,r,D_low_mean,D_low_std,D_low_sem,D_high_mean,D_high_std,D_high_sem,Delta_mean,Delta_std,Delta_sem,trials,omega,T,dt,late_fraction,K_min,K_max,n_k,low_kappa_min,low_kappa_max,high_kappa_min,high_kappa_max
80,0.5,0.8598696798298667,0.026232006346766465,0.003709765914385424,0.9942912109133165,0.002178613989657041,0.0003081025451348745,0.1344215310834498,0.025692139867541975,0.0036334172647064355,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,1.0,0.5683986228316124,0.04632773180728123,0.0065517306635840536,0.9743582350202199,0.009026347024887832,0.0012765182381282408,0.4059596121886073,0.04374729831482648,0.006186802259400925,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,1.5,0.4030160979893846,0.049942604635992795,0.0070629508816458415,0.9317167743734263,0.022013498992344716,0.003113178883026036,0.5287006763840421,0.04766208825893979,0.0067404371626816105,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,2.0,0.30403696512521583,0.04939534037029959,0.006985556026971294,0.853426416947764,0.046732595930990585,0.00660898709705086,0.5493894518225484,0.06080899946616466,0.008599691175938836,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,2.5,0.24636589767370284,0.042586378080408424,0.006022623345366188,0.7191304058087582,0.09678234281028339,0.013687090180054496,0.4727645081350552,0.1006366075615343,0.014232165528474056,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,3.0,0.20726348471868802,0.03884736754991832,0.005493847405158696,0.47241249460126544,0.23450842836437405,0.03316449998836972,0.26514900988257756,0.2313722458405047,0.032720976802436366,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,3.5,0.1787985547057039,0.03574443698492762,0.0050550267563475105,0.2110979171954786,0.2372838411554793,0.033557002629406196,0.03229936248977471,0.2311391195608506,0.032688007767793126,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,4.0,0.15767688873492663,0.034380150348503065,0.004862087489927913,0.08190038807456769,0.1546509588530624,0.021870948344400433,-0.07577650066035892,0.14596793669637007,0.020642983574762394,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,4.5,0.1395162836113103,0.03266846084112351,0.0046200180383371234,0.016362665127596054,0.0653368828358043,0.009240030582957632,-0.12315361848371426,0.06475563829430592,0.009157830191593398,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,5.0,0.12565141886565434,0.03078125016906462,0.004353126145589031,0.0021636827203932547,0.015299547216654932,0.0021636827171960943,-0.12348773614526108,0.030684968005604274,0.004339509791451006,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,5.5,0.11411583981255881,0.030799619126352224,0.004355723908441309,0.0,0.0,0.0,-0.11411583981255881,0.030799619126352224,0.004355723908441309,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
80,6.0,0.10383315839210669,0.030091227776476392,0.00425554224299509,0.0,0.0,0.0,-0.10383315839210669,0.030091227776476392,0.00425554224299509,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,0.5,0.855259238521937,0.02160876920075433,0.0030559414469896796,0.9946894241020426,0.0019523309265629535,0.000276101287458576,0.13943018558010578,0.02101923549104866,0.0029725687902154917,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,1.0,0.5493218551236907,0.03980877443986776,0.0056298108714312395,0.9761012397512961,0.007525935337263432,0.0010643279823500879,0.42677938462760545,0.03821965663329486,0.005405075676004841,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,1.5,0.385042247738968,0.03325867233316825,0.004703486548008937,0.9350900535322892,0.01847833023274084,0.0026132305225150887,0.5500478057933215,0.0331751189127278,0.004691670309971982,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,2.0,0.29260846323981865,0.03088017773037579,0.0043671166154789064,0.8572794235310931,0.039840732369560546,0.005634330405190929,0.5646709602912741,0.04329596991970186,0.006122974785653993,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,2.5,0.2358763827108426,0.030884269718688198,0.004367695310015754,0.7254943645006497,0.08062470728495363,0.01140205545047423,0.4896179817898074,0.07877417347150703,0.011140350448813612,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,3.0,0.19555049042396916,0.028615706253784845,0.004046871988098712,0.5083368990496154,0.19106298536215785,0.027020386516665575,0.3127864086256464,0.1862667309401887,0.026342093711451506,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,3.5,0.16685253253377075,0.02645349340232494,0.0037410889141715115,0.23456319068632447,0.2108088956090865,0.02981287992392641,0.06771065815255374,0.20517778054631955,0.029016519994621567,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,4.0,0.14587219806169788,0.025501778913237533,0.003606496160374073,0.04064913814128933,0.09944354081834494,0.014063440411570588,-0.10522305992040852,0.09579183445800722,0.013547011145511219,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,4.5,0.1301748021401089,0.025318588273450918,0.003580589091645469,0.0008931762162985245,0.006315709593392093,0.0008931762162984963,-0.1292816259238104,0.02555508261937022,0.0036140344427878324,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,5.0,0.1167329949805262,0.02470376932187993,0.0034936405616738993,0.0,0.0,0.0,-0.1167329949805262,0.02470376932187993,0.0034936405616738993,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,5.5,0.10520394136803426,0.02252633015507451,0.0031857041615800394,0.0,0.0,0.0,-0.10520394136803426,0.02252633015507451,0.0031857041615800394,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
120,6.0,0.09560530096057152,0.020740733944828938,0.0029331827238349107,3.1482617281116485e-09,2.226157216897826e-08,3.148261728111649e-09,-0.09560529781230978,0.020740728906127583,0.0029331820112549313,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,0.5,0.8563053193002637,0.015891906217800744,0.0022474549305175127,0.9951326572117928,0.001363224964892751,0.0001927891233916915,0.13882733791152935,0.015401104541042454,0.00217804509174681,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,1.0,0.5632582840823038,0.03067999320523925,0.0043388062484363745,0.977345078886014,0.00589237008842777,0.0008333069693576106,0.41408679480371013,0.028058650339416347,0.003968092385188704,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,1.5,0.40094361349212365,0.02954618075046215,0.004178460953363044,0.9380426597756883,0.014856622498251194,0.002101043702808409,0.5370990462835648,0.028087640109463335,0.003972192157785757,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,2.0,0.3088495511325799,0.030752662407843957,0.004349083225625416,0.8636466865665576,0.03117904668488885,0.00440938306836337,0.5547971354339778,0.03575685365573372,0.005056782738772862,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,2.5,0.25091714049402014,0.029526192529516812,0.004175634192048184,0.7431842656566174,0.06156254980894157,0.008706259287407436,0.49226712516259696,0.06025453634450466,0.008521278249290106,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,3.0,0.21286073618581267,0.027255846296571098,0.003854558748656734,0.558588109134902,0.14090065422074166,0.019926361614621472,0.3457273729490893,0.13600307303903778,0.019233739041622584,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,3.5,0.18485534998217315,0.025726778303084993,0.0036383158792388675,0.2910996633644297,0.20644573596005036,0.02919583596887982,0.10624431338225661,0.20648452574382206,0.029201321672708964,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,4.0,0.16247419417975226,0.023731442250318435,0.003356132748507421,0.08613682287375159,0.1411849296516736,0.01996656423160881,-0.07633737130600067,0.14077856193250204,0.01990909515763251,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,4.5,0.1443137022083889,0.021871060536438048,0.0030930350434113666,0.012666837461773233,0.050725067965145455,0.007173607906860571,-0.13164686474661566,0.05241303898330121,0.007412323057537431,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,5.0,0.12937503145901486,0.02031727952991364,0.002873297226172913,0.0,0.0,0.0,-0.12937503145901486,0.02031727952991364,0.002873297226172913,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,5.5,0.11756050805057411,0.01909500701446128,0.0027004417893460525,6.047894631250553e-07,4.27650730565898e-06,6.047894631250552e-07,-0.11755990326111097,0.01909465839608315,0.002700392487262208,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
200,6.0,0.10782302846143015,0.01839588077523389,0.002601570408413425,0.0,0.0,0.0,-0.10782302846143015,0.01839588077523389,0.002601570408413425,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
